r,l,t
-150,2,6.082464
-95,3,13.4174
-95,3,20.867634
-99,2,26.304624
-95,3,33.341237
-100,1,37.179769
-100,1,40.970816
-86,4,49.514424
-100,1,53.426118
-45,6,64.915889
-70,5,75.146478
-100,1,78.861366
-45,6,90.479473
-86,4,99.267012
-95,3,106.331287
-100,1,110.066496
-120,6,121.740633
-95,7,135.363282
-95,3,142.130018
-99,2,147.795511
-99,2,153.398643
-86,4,162.065908
-99,2,167.414898
-95,3,174.703882
-100,1,178.552398
-99,2,183.874931
-100,1,187.712997
-170,7,200.9751
-100,1,204.740105
-150,2,210.204338
-100,1,214.012097
-95,3,221.043904
-100,1,224.832442
-86,4,233.504811
-100,1,237.429939
-145,4,246.049693
-95,3,252.966092
-95,3,259.985169
-95,3,267.269519
-95,7,280.375561
-95,3,287.328587
-95,3,294.626619
-45,6,306.418505
-86,4,315.223542
-70,5,325.673647
-86,4,334.244248
-95,3,341.391296
-70,5,351.988262
-100,1,355.985942
-100,1,359.716391
-95,3,367.10204
-99,2,372.213224
-100,1,375.931075
-95,3,382.848573
-100,1,386.704357
-9,7,399.952134
-100,1,403.714409
-100,1,407.382468
-99,2,412.690116
-145,4,421.206671
-9,7,434.775538
-95,3,442.536442
-45,6,454.896962
-100,1,458.858985
-100,1,462.673223
-100,1,466.386332
-99,2,471.752045
-86,4,481.029876
-95,3,488.21742
-70,5,498.700778
-100,1,502.852335
104,9,519.546448
-120,6,531.667269
-86,4,541.296763
-70,5,551.514798
-86,4,560.296706
-99,2,565.797868
-145,4,574.854825
-99,2,580.391474
-95,3,587.370062
-86,4,596.013485
-100,1,599.912213
-99,2,605.869577
-136,5,616.255425
-99,2,621.903581
-95,3,629.427331
-99,2,635.195723
-145,8,650.126511
-100,1,654.008582
135,11,672.937104
-99,2,678.573458
-86,4,687.192442
54,10,704.150467
-95,3,711.232928
-186,6,723.990653
-99,2,729.535364
-45,6,741.482071
-99,2,747.107633
-59,8,761.398633
-120,6,773.223146
40,8,788.777586
40,8,803.677871
-86,4,812.532813
-70,5,822.925482
-45,6,835.333028
-95,3,844.101595
-145,4,854.257177
-99,2,860.231418
-95,3,867.518102
-100,1,871.758544
4,11,891.775324
-9,7,905.398504
-149,3,913.643292
-100,1,917.707315
-99,2,923.617966
-120,6,936.919839
-99,2,943.159668
-45,6,955.702186
-59,8,970.965434
-59,8,986.107078
-99,2,991.855404
40,8,1006.982836
-60,10,1026.853255
-95,3,1036.20308
-95,7,1051.943355
-70,5,1063.702312
-99,2,1069.863511
-120,6,1084.333083
-100,1,1089.104994
-45,6,1102.672876
-100,1,1107.136113
-86,4,1117.507273
-9,7,1133.133496
-95,3,1141.978077
-100,1,1146.74678
-86,4,1157.444292
-95,3,1165.70552
-95,3,1173.965219
-70,5,1185.735545
-10,9,1204.283934
-136,5,1215.837502
-95,7,1231.917562
-95,3,1240.619404
-95,3,1248.635858
-9,7,1263.868229
-159,10,1284.216115
-59,8,1301.105049
-9,7,1316.746703
-120,6,1330.913996
-95,3,1339.185494
-95,3,1347.454021
-109,9,1365.734014
-86,4,1376.557666
-136,5,1391.036095
-95,3,1399.416875
-95,3,1408.275188
-95,7,1424.17842
356,13,1448.331231
450,15,1476.150578
-70,5,1487.903073
-99,2,1494.372505
-136,5,1506.730615
40,8,1524.248241
-9,7,1540.047251
-70,5,1552.345498
-45,6,1566.542763
-100,1,1571.455025
-59,8,1589.218126
-86,4,1599.308084
135,11,1621.137137
-136,5,1634.020279
-136,5,1647.545992
-59,8,1667.501254
-45,6,1683.165619
285,11,1706.284912
54,10,1726.625237
-199,4,1737.271885
-70,5,1749.21069
-100,1,1759.232579
185,10,1880.695414
-86,4,3764.875569
-70,5,4691.329785
-70,5,4810.16557
-100,1,4971.070836
-136,5,4997.91872
-95,3,5013.693013
-99,2,5023.261837
-95,3,5033.759165
-95,3,5043.289233
-99,2,5050.490147
-95,3,5059.304554
-70,5,5072.158643
-86,4,5082.854381
-70,5,5096.075797
135,11,5117.983545
-95,3,5126.554645
40,8,5143.944618
-70,5,5155.949241
-70,5,5168.144118
-100,1,5172.675949
719,14,5197.962373
-95,3,5206.277116
40,8,5222.899822
-95,3,5230.972157
-86,4,5241.563896
-120,6,5256.092728
-109,9,5275.465476
-86,4,5286.912535
-145,8,5305.773052
-70,5,5317.830869
-9,7,5335.552583
-195,9,5355.620821
-45,6,5369.569036
-86,4,5380.674102
-9,7,5397.427762
-45,6,5411.144057
54,10,5432.748907
450,15,5460.752834
-136,5,5473.199813
-99,2,5479.388784
-45,6,5493.598331
104,9,5512.850791
