r,l,t
-145,4,9.373169
-86,4,18.313562
-150,2,24.157329
-45,6,36.044986
-95,3,43.018912
-100,1,46.711503
-100,1,50.575036
-99,2,55.868635
-100,1,59.60159
-95,3,66.650495
-86,4,75.300007
-100,1,79.121113
-136,5,90.275779
-149,3,97.740109
-99,2,103.147478
-100,1,106.905668
-95,3,113.817115
-99,2,119.445929
-99,2,125.107148
40,8,139.66962
-86,4,148.704255
-99,2,154.4036
-59,8,169.768937
-100,1,173.743162
-100,1,177.585242
-100,1,181.408817
-86,4,190.379405
-100,1,194.376261
-145,4,203.751048
-99,2,209.301308
-120,6,221.464088
-59,8,236.656573
-99,2,242.360934
-100,1,246.120567
-45,6,258.592763
-99,2,263.895892
-100,1,267.676548
-59,8,282.420434
-9,7,295.80608
-9,7,309.05798
-45,6,320.788496
-100,1,324.70192
-99,2,330.757052
-86,4,339.712766
-99,2,345.349984
-9,7,359.179272
-70,5,369.668275
-95,3,377.046558
-99,2,382.601226
-120,6,394.328862
-100,1,398.201826
-120,6,410.535502
-9,7,424.259255
-86,4,432.821714
-95,3,440.111516
-99,2,445.783499
-186,6,457.977195
-70,5,468.305578
-86,4,477.204682
-45,6,488.568087
-136,5,498.833116
-95,3,506.034318
-99,2,511.594396
-86,4,520.528973
-100,1,524.541482
-100,1,528.297015
-86,4,536.932872
-120,6,548.917931
-95,7,562.648976
104,9,578.690333
-100,1,582.55251
-145,8,598.262626
235,12,618.71114
-100,1,622.492949
-136,5,632.78904
135,11,652.847874
40,8,668.313948
-120,6,679.940053
40,8,699.324075
-45,6,711.924102
-70,5,722.475674
-70,5,732.867801
-95,3,740.535237
-99,2,746.345007
-45,6,758.333328
-110,11,777.838047
-159,10,795.53595
-186,6,807.929253
-99,2,813.777737
-95,3,821.075182
-60,10,838.530345
40,8,852.808144
40,8,867.770085
285,11,886.716406
-86,4,895.440328
-145,4,904.306155
4,11,923.91737
104,9,940.193012
-9,7,953.814795
-100,1,957.825003
85,12,977.780845
-95,7,991.55766
185,10,1009.032762
-45,6,1021.154988
-99,2,1026.637573
-95,3,1033.91013
40,8,1048.293296
-60,10,1065.901677
54,10,1084.077258
-95,3,1091.244319
-9,7,1104.300489
-95,7,1118.248393
-109,9,1134.426091
-70,5,1144.861428
-136,5,1155.271986
-99,2,1160.760681
-120,6,1172.734947
-45,6,1185.126516
-99,2,1190.615781
-45,6,1202.327871
-60,10,1219.94277
-99,2,1225.549259
-45,6,1237.261318
-59,8,1252.546539
-9,7,1265.812691
-95,3,1272.796745
-95,7,1287.088119
-59,8,1301.914751
135,11,1321.884307
-99,2,1327.434233
-99,2,1332.826214
-45,6,1344.497332
-100,1,1348.289534
-45,6,1359.986306
-159,10,1378.153129
-60,10,1396.250783
-109,9,1414.258251
-170,7,1427.466324
-159,10,1445.355323
-45,6,1457.119694
-70,5,1467.492142
85,15,1493.005742
-99,2,1498.461548
-59,8,1513.672627
-86,4,1522.312166
54,10,1540.64279
-136,5,1551.293123
-9,7,1564.64936
-86,4,1573.98934
-10,9,1591.195921
-100,1,1595.011172
-95,3,1602.036334
-9,7,1615.324211
-10,9,1631.959378
