r,l,t
-95.074074,3,2.065607
-99.0,2,3.267022
-98.148148,7,7.02011
-95.074074,3,8.789419
-15.481481,7,12.395389
-86.407407,4,14.540618
-95.074074,3,16.346406
-48.148148,6,19.614274
-95.074074,3,21.41043
-86.407407,4,23.677365
-15.481481,7,27.345749
-95.074074,3,29.180235
-99.0,2,30.396798
102.777778,11,35.719282
-95.074074,3,37.442291
-71.296296,5,40.163637
-95.074074,3,41.943797
-95.074074,3,43.708598
184.703704,15,50.354897
-99.0,2,51.577706
-71.296296,5,54.207529
-95.074074,3,55.96773
-86.407407,4,58.229068
-99.0,2,59.450033
-99.0,2,60.637482
-48.148148,6,63.850294
-48.148148,6,67.082215
-86.407407,4,69.355266
-95.074074,3,71.130912
-15.481481,7,74.565085
-95.074074,3,76.281685
-15.481481,7,80.144913
-71.296296,5,82.877748
-95.074074,3,84.613097
-71.296296,5,87.404878
-99.0,2,88.592517
-86.407407,4,90.850765
-99.0,2,92.060335
-15.481481,7,95.605961
-86.407407,4,97.873283
-71.296296,5,100.464189
-71.296296,5,103.238392
-71.296296,5,105.923964
83.777778,9,110.327644
-95.074074,3,112.031507
-99.0,2,113.250523
-121.296296,6,116.569146
-71.296296,5,119.291538
28.074074,8,123.461606
-71.296296,5,126.220156
-99.0,2,127.474392
-99.0,2,128.693302
-86.407407,4,130.979051
-71.296296,5,133.828096
-147.222222,16,141.427993
-99.0,2,142.649523
-71.925926,10,147.56014
-16.222222,11,152.996113
-121.296296,6,156.275195
-95.074074,3,157.996867
28.074074,8,162.061479
-65.481481,8,166.209313
-148.148148,8,170.372446
-165.481481,10,175.465132
-86.407407,4,177.714265
-15.481481,7,181.200047
-86.407407,4,183.474392
-48.148148,6,186.664366
-98.148148,7,190.738048
-71.296296,5,193.54217
28.074074,8,197.607904
-71.296296,5,200.392112
83.777778,9,204.916597
-65.481481,8,209.022127
-95.074074,3,210.750258
-99.0,2,211.965662
-86.407407,4,214.280149
-99.0,2,215.487204
-71.296296,5,218.168759
33.777778,10,223.045571
-121.296296,6,226.29487
-99.0,2,227.52534
-99.0,2,228.733291
-86.407407,4,230.961037
-15.481481,7,234.609492
-71.925926,10,239.797631
-99.0,2,240.971728
-71.296296,5,243.632878
-71.296296,5,246.526913
-95.074074,3,248.282382
-15.481481,7,251.841501
-148.148148,8,256.072622
-221.296296,8,260.359994
-48.148148,6,263.395332
-99.0,2,264.600032
-95.074074,3,266.321115
-99.0,2,267.532909
-115.481481,9,272.359241
83.777778,9,276.8124
-86.407407,4,279.07794
-71.296296,5,281.747271
-99.0,2,282.96858
-65.481481,8,287.141499
-71.296296,5,289.900316
-86.407407,4,292.200333
-95.074074,3,293.914165
-95.074074,3,295.558786
-48.148148,6,298.757784
-65.481481,8,302.971264
-98.148148,7,306.829793
83.777778,9,311.289391
-71.296296,5,313.985967
-48.148148,6,317.054151
-95.074074,3,318.788075
-86.407407,4,320.960017
-148.148148,8,325.25457
-48.148148,6,328.368287
-21.925926,9,333.052106
-86.407407,4,335.370191
84.703704,17,342.926217
186.111111,12,348.704834
-21.925926,9,353.203406
-65.481481,8,357.360497
186.111111,12,362.825183
-121.296296,6,366.195689
-86.407407,4,368.595889
-271.925926,14,375.469155
-95.074074,3,377.131224
-99.0,2,378.416004
-48.148148,6,381.667337
-71.296296,5,384.368742
-48.148148,6,387.450659
-116.222222,13,393.816002
-65.481481,8,397.951296
-99.0,2,399.14696
-71.296296,5,401.846986
-95.074074,3,403.585544
-71.925926,10,408.585942
-71.296296,5,411.786692
-16.222222,11,417.328425
