r,l,t
-95,3,1.666909
-99,2,2.727692
-99,2,3.808396
-70,5,6.124903
35,13,11.629736
-86,4,13.655806
-99,2,14.763405
-95,3,16.26499
-95,3,17.826373
104,9,21.662002
-86,4,23.596225
-45,6,26.248382
-95,3,27.765569
-95,3,29.324048
-99,2,30.396103
-9,7,33.560038
-99,2,34.616618
-95,7,37.914922
-99,2,39.003631
-70,5,41.286522
-99,2,42.41469
-70,5,44.858108
-95,3,46.340898
-86,4,48.251417
-120,6,51.128435
-45,6,53.999081
-86,4,55.928422
-95,3,57.296292
-70,5,59.547111
-9,7,62.684038
-86,4,64.580463
-99,2,65.75179
-99,2,66.965388
-45,6,69.685354
-95,3,71.235664
-99,2,72.390674
-95,3,73.921031
-45,6,76.99663
-95,3,78.620024
-195,9,82.890352
-45,6,85.746849
-145,8,89.427785
-159,10,94.097422
-99,2,95.36522
-95,3,97.12686
-9,7,100.516755
-9,7,103.782603
-245,10,108.472974
-10,9,112.449179
-45,6,115.817756
40,8,119.80286
-236,7,123.294328
-95,3,124.85727
135,11,129.653606
-45,6,132.792299
-95,3,134.518159
40,8,138.196431
-86,4,140.081134
-95,3,141.658654
-186,6,145.126008
-195,9,149.583749
-70,5,152.230125
-86,4,154.590531
-86,4,157.138149
-99,2,158.311922
-95,3,159.969612
85,12,165.448294
-145,4,167.609776
-220,8,171.661301
-70,5,174.3043
-99,2,175.502986
-9,7,178.906915
-95,3,180.892618
-99,2,182.054129
-70,5,184.62643
-45,6,187.640186
-99,2,188.774505
-99,2,189.924343
-70,5,192.444267
85,12,198.474528
-120,6,202.469566
85,12,208.535844
40,8,212.228537
185,13,217.763533
-86,4,219.884806
-95,3,221.481487
85,12,226.481376
-70,5,229.040522
-70,5,231.536653
-159,10,236.337569
-10,9,240.399213
-95,3,241.967282
-95,3,243.620455
-70,5,246.158352
-99,2,247.527167
4,11,252.292806
-45,6,255.197641
406,12,260.188789
-70,5,262.730527
-9,7,266.131008
104,9,270.045655
-70,5,272.603295
-145,8,276.410766
35,16,282.764943
-59,8,286.434061
-109,9,290.682428
-120,6,294.20163
40,8,298.056265
-95,7,301.45002
-70,5,303.966635
54,10,308.334378
40,8,311.988867
40,8,315.687066
300,18,322.868571
-96,13,328.476699
-95,3,330.142503
-99,2,331.249232
-99,2,332.416437
-45,6,335.314963
-10,9,340.0518
54,10,345.640753
250,19,353.778186
-70,5,356.185482
-45,6,359.776736
40,8,363.601019
-109,9,368.406314
-59,8,372.291076
35,13,378.470226
-60,10,382.903433
-99,2,384.033246
-195,5,386.710146
156,17,393.394381
250,19,400.712791
4,11,405.554918
-10,9,409.605899
-60,10,414.327358
-86,4,416.363418
-99,2,417.456859
185,13,422.818015
-9,7,426.110068
-95,7,429.391623
-46,12,434.648397
-9,7,437.779941
-160,12,443.247971
106,18,450.15979
-10,9,454.550037
-86,4,456.54804
-70,5,458.948798
235,12,463.9179
285,11,468.432148
-186,6,471.529535
-95,3,473.207078
104,9,477.088828
250,19,484.652826
-15,17,491.767941
235,12,496.755382
-50,25,506.204286
-60,10,512.252281
-95,7,515.761424
-45,6,519.253926
-9,7,524.046819
-70,5,526.533011
-95,3,528.295674
150,21,537.328597
-95,7,540.92014
-9,7,544.308784
-109,9,548.416436
-45,6,551.188294
-95,7,554.546636
-95,3,556.210531
-95,7,559.468153
-110,11,564.362405
-95,3,565.966465
-159,10,570.562093
-15,17,577.588962
-95,7,580.861591
185,10,585.097863
-136,5,587.6249
250,19,594.806759
-46,12,599.925486
54,10,604.283043
-96,13,609.894793
-109,9,614.031776
-315,20,622.760101
135,14,628.750709
4,11,633.597823
-9,7,636.782236
-309,13,642.692335
-99,2,643.804309
6,20,651.379829
-86,4,653.431355
-70,5,655.908315
-99,2,657.015499
4,11,661.569877
940,20,669.700823
-45,6,672.495963
-70,5,674.963073
-86,4,676.851667
-10,9,680.908827
185,10,685.179365
469,19,692.385313
40,8,696.075603
669,15,701.937423
-95,3,703.605864
-59,8,707.315848
54,10,711.861316
40,8,715.534561
-160,12,720.906761
-15,14,727.075264
-59,8,730.838793
-9,7,734.258584
-95,3,735.832095
256,15,742.068045
-45,6,744.916152
-45,6,747.771837
-220,8,751.771818
