r,l,t
-100,1,4.209567
-45,6,17.672729
-99,2,23.388623
-95,7,38.970937
-99,2,44.44698
-95,3,52.413805
-95,3,60.464678
-86,4,70.951717
-99,2,76.907346
-170,7,92.008225
-70,5,103.433267
-100,1,107.668758
-100,1,111.730043
-86,4,121.647441
-100,1,125.525516
-95,3,133.122869
-95,3,140.493887
-95,3,148.217507
-45,6,160.871614
-99,2,166.905793
-86,4,176.84521
-99,2,183.207587
-150,2,189.724927
-99,2,195.782263
-150,2,202.466019
-99,2,209.175871
-95,3,217.354627
-149,3,225.079387
-100,1,229.217636
-99,2,235.17634
-99,2,241.350301
-86,4,251.219976
-99,2,257.487327
-95,3,265.80961
-149,3,273.87362
-150,2,280.196866
-149,3,288.226529
-100,1,292.211975
-9,7,307.319521
-100,1,311.621684
-70,5,323.243988
-86,4,333.192901
-95,3,341.181068
-99,2,347.056628
-99,2,353.160193
-95,3,361.352255
-100,1,365.517038
-145,4,375.517633
-99,2,382.152187
-100,1,386.337825
-99,2,392.461701
-70,5,404.517735
-99,2,410.282588
-45,6,424.336873
-100,1,428.368423
-100,1,432.55718
-95,3,440.900546
-100,1,445.163721
-95,3,453.141835
-100,1,457.202977
-45,6,470.82165
-100,1,474.925837
-95,3,482.904172
-9,7,497.673301
-99,2,504.002447
-100,1,508.670325
-136,5,520.468014
-86,4,530.944943
-100,1,535.127563
-95,3,543.331057
-99,2,549.228436
-136,5,560.894815
-95,3,568.739038
-100,1,573.019793
-86,4,583.175337
-99,2,589.130927
-100,1,593.186262
-99,2,599.332568
-95,3,607.145937
-9,7,622.673957
-70,5,634.574701
-100,1,638.783478
-95,3,646.643065
-145,4,656.494007
-100,1,660.692671
-100,1,664.798331
-99,2,670.832751
-86,4,680.449619
-45,6,693.567107
-95,3,701.476211
-100,1,705.570769
-100,1,709.765946
-150,2,715.836754
-59,8,732.484325
-45,6,745.68855
-95,3,753.942924
-149,3,761.85274
-136,5,774.081828
-99,2,780.339216
-95,3,788.427593
-99,2,794.384814
-120,6,808.44379
-86,4,818.252108
-99,2,825.079054
-95,3,833.410178
-95,7,848.567766
-99,2,854.754279
-100,1,858.926235
-45,6,875.626153
-86,4,886.893912
-99,2,892.960425
-100,1,896.957887
-99,2,902.888268
-95,3,910.497253
-95,3,918.708792
-95,3,926.804132
-99,2,932.96045
-70,5,944.897776
-99,2,951.267224
-95,3,959.138898
-70,5,970.93446
-70,5,982.941813
-100,1,987.04155
-100,1,991.512842
-100,1,995.503323
-99,2,1001.455602
-99,2,1007.34693
-86,4,1016.653964
-86,4,1026.36372
-86,4,1036.292792
-100,1,1040.341442
-95,3,1048.205977
-100,1,1052.161133
-86,4,1061.931815
-99,2,1067.947735
-45,6,1081.517474
-100,1,1085.578683
-70,5,1097.566413
-100,1,1101.581596
-95,3,1109.631013
-95,3,1117.638294
-100,1,1121.803339
-99,2,1127.683247
-100,1,1131.657721
-99,2,1137.682841
-99,2,1143.751787
-100,1,1147.785301
-86,4,1157.437005
-99,2,1163.590729
-100,1,1167.821754
-100,1,1172.004712
-70,5,1183.352687
-99,2,1189.752533
-100,1,1193.68842
-100,1,1197.636295
-99,2,1203.81907
-150,2,1209.809908
-99,2,1215.456121
-100,1,1219.619435
-86,4,1229.441436
-100,1,1233.58516
-150,2,1239.592382
-150,2,1245.619322
-70,5,1257.278235
-99,2,1263.346009
-100,1,1267.358442
-45,6,1280.387657
-95,3,1287.980692
-95,3,1295.918488
-100,1,1299.964479
-95,3,1307.79225
-100,1,1311.832181
-100,1,1315.89699
-99,2,1321.890039
-86,4,1331.611527
40,8,1348.140127
-99,2,1354.316917
-136,5,1366.092153
-100,1,1370.318588
-95,3,1378.091602
-100,1,1382.228676
-100,1,1386.227103
-95,3,1394.181888
-45,6,1407.108172
-95,3,1415.129743
-99,2,1421.063292
-95,3,1429.139449
-136,5,1441.182944
-99,2,1447.103805
-136,5,1458.770792
-95,3,1466.972736
-95,3,1474.971777
-99,2,1480.977367
-86,4,1490.99731
-86,4,1500.879656
-86,4,1510.50457
-99,2,1516.671436
-100,1,1520.80005
-100,1,1524.793943
-100,1,1528.945651
-70,5,1540.646843
-99,2,1546.619508
-100,1,1550.787818
-149,3,1558.702451
-95,3,1566.938985
-100,1,1571.146337
-99,2,1577.392933
-70,5,1589.834501
-100,1,1593.906689
-100,1,1598.005623
-99,2,1603.549153
-86,4,1613.328767
40,8,1629.931501
-70,5,1641.19089
-86,4,1650.793019
-145,4,1660.79874
-95,3,1669.145928
-95,3,1676.85819
-99,2,1682.568669
-9,7,1697.818828
-100,1,1702.091815
-99,2,1708.379554
-100,1,1712.428604
-170,7,1728.238161
-186,6,1742.28698
-100,1,1746.48519
-95,3,1754.845829
-70,5,1767.256092
-59,8,1784.79718
-95,3,1792.883831
-100,1,1797.111886
-9,7,1812.663506
-86,4,1822.692352
-95,3,1830.554386
-99,2,1836.41561
-95,3,1844.275171
-99,2,1849.901764
-99,2,1855.871609
-95,3,1863.922636
-45,6,1877.133826
-86,4,1887.159552
-99,2,1892.818402
-100,1,1896.854932
-150,2,1902.945401
-99,2,1909.145168
-70,5,1921.04341
-99,2,1927.138436
-95,3,1934.813448
-86,4,1944.904874
-99,2,1951.394316
-136,5,1962.982207
-99,2,1968.905827
-99,2,1974.76716
-95,3,1982.368377
-86,4,1991.899417
-86,4,2001.728445
-99,2,2007.700906
-100,1,2011.552304
-86,4,2021.739381
-70,5,2033.117844
-100,1,2037.302772
-99,2,2042.906894
-100,1,2046.844601
-100,1,2050.866282
-170,7,2066.240424
-100,1,2070.24639
-99,2,2076.656719
-100,1,2080.657947
-70,5,2091.91079
-86,4,2101.674885
-99,2,2107.542973
-86,4,2117.062812
-100,1,2120.94483
-100,1,2124.846435
-95,3,2133.883438
-136,5,2146.299649
-86,4,2156.022845
-86,4,2165.741461
-100,1,2169.708284
-99,2,2175.545143
-100,1,2180.032919
-99,2,2187.057841
-95,3,2195.33169
-99,2,2201.579322
-86,4,2211.132667
-95,3,2219.072275
-99,2,2225.123152
-95,3,2233.016595
-100,1,2237.061218
-45,6,2250.485188
-100,1,2254.733463
-99,2,2260.825695
-99,2,2266.681217
-149,3,2274.5485
-99,2,2281.106254
-86,4,2290.790142
-70,5,2302.39781
-99,2,2308.33969
-95,3,2316.319012
-70,5,2328.054758
-99,2,2334.047432
-95,3,2342.075081
-100,1,2346.125886
-86,4,2356.019981
-70,5,2367.572637
-99,2,2373.929593
