r,l,t
-100,1,4.374273
-149,3,12.227723
-95,3,20.137613
-150,2,26.255147
-95,3,33.796286
-99,2,39.9044
-70,5,50.976111
-100,1,54.880226
-99,2,60.543997
-86,4,70.454522
-99,2,76.478346
-99,2,82.334397
-95,3,90.03516
-95,3,97.938651
-99,2,104.034291
-99,2,110.057852
-100,1,114.100485
-100,1,118.197892
-99,2,124.21798
-99,2,129.983529
-95,3,137.467715
-86,4,147.365972
-100,1,151.802899
-100,1,155.77379
-100,1,159.97723
-95,3,167.991438
-100,1,172.32003
-100,1,176.528335
-100,1,180.484825
-86,4,190.528098
-100,1,194.492986
-86,4,204.528947
-100,1,208.645315
-70,5,220.164682
-100,1,224.418674
-45,6,237.849498
-100,1,241.886859
-100,1,246.209351
-100,1,250.097309
-100,1,254.537028
-100,1,258.506716
-70,5,269.959616
-99,2,275.763296
-86,4,285.313782
-100,1,289.485287
-99,2,295.579121
-70,5,306.908694
-86,4,317.346913
-95,3,325.723095
-99,2,331.896951
-70,5,343.279892
-95,3,351.042913
-99,2,357.222891
-86,4,367.713991
-100,1,371.973757
-99,2,377.872521
-86,4,387.744174
-95,3,395.916175
-70,5,407.455388
-99,2,413.372191
-99,2,419.542383
-86,4,430.036852
-100,1,434.095004
-100,1,438.422303
-70,5,449.909602
-70,5,462.587918
-86,4,472.441393
-100,1,476.424384
-70,5,487.80459
-100,1,491.721347
-95,7,506.599527
-100,1,510.578369
-95,3,518.277762
-95,3,526.056235
-145,4,535.831145
-95,3,543.502939
-99,2,549.340434
-86,4,559.853546
-100,1,563.82264
-99,2,569.798494
-86,4,579.070644
-86,4,588.781654
-100,1,592.637775
-100,1,596.460942
-95,3,603.810277
-95,3,611.676861
-99,2,617.463357
-150,2,623.521975
-86,4,633.355989
-99,2,639.608359
-70,5,651.049957
-100,1,654.947874
-95,3,662.386825
-86,4,671.916159
-149,3,679.784617
-99,2,685.578971
-95,3,693.375763
-100,1,697.165848
-99,2,703.102093
-99,2,709.261938
-95,3,716.989229
-99,2,722.692507
-99,2,728.637803
-59,8,745.438583
-100,1,749.428684
-45,6,763.134568
-86,4,772.705642
-95,3,780.339934
-100,1,784.324968
-9,7,798.879517
-95,3,806.338353
-99,2,812.024717
-95,3,819.648064
-95,3,827.434281
-100,1,831.40523
40,8,847.802273
-70,5,858.772946
-95,3,866.722389
-70,5,877.82791
-99,2,883.864591
-99,2,889.740298
-45,6,902.608864
-99,2,908.115173
-70,5,919.281428
-70,5,930.465465
-145,4,939.946508
-99,2,945.800669
-45,6,958.753303
-100,1,962.609892
-95,3,970.15705
-100,1,973.973038
-99,2,979.92712
-99,2,985.589044
-95,3,993.150425
-136,5,1004.649335
-100,1,1008.548158
-100,1,1012.750247
-86,4,1022.069195
-45,6,1035.363813
-99,2,1041.146506
-95,3,1048.819969
-86,4,1058.623824
-86,4,1068.40897
-100,1,1072.272794
-99,2,1078.100791
-100,1,1082.141283
-100,1,1085.920436
-99,2,1091.705327
-100,1,1095.511792
-99,2,1101.33254
-95,3,1109.053898
-86,4,1119.043878
-136,5,1130.749526
-86,4,1140.624845
-95,3,1148.04953
-149,3,1155.787101
-100,1,1159.683784
-100,1,1163.680587
-99,2,1169.590082
-100,1,1173.62009
-9,7,1188.958841
-100,1,1192.882459
-149,3,1200.467818
-100,1,1204.325195
-100,1,1208.194517
-100,1,1212.001363
-100,1,1215.842473
-100,1,1219.816258
-95,7,1235.069418
-86,4,1244.770694
-145,4,1254.557757
-100,1,1258.390868
-99,2,1264.068613
-95,3,1271.744291
-99,2,1277.314318
-100,1,1281.171492
-99,2,1286.908949
-100,1,1290.79004
-100,1,1294.773076
-95,3,1302.394441
-70,5,1313.694715
-99,2,1319.405438
-99,2,1324.931535
-100,1,1328.795041
-100,1,1332.576344
-100,1,1336.71033
-9,7,1351.318587
-100,1,1355.267335
-100,1,1359.287248
-136,5,1371.223459
-99,2,1377.064265
-70,5,1388.3373
-100,1,1392.214944
-86,4,1401.513384
-99,2,1406.988856
-86,4,1416.513927
104,9,1434.298909
-95,3,1442.095697
-99,2,1447.776394
-100,1,1451.639415
-86,4,1460.754001
-100,1,1464.700665
-99,2,1470.39323
-100,1,1474.179338
40,8,1490.574676
-95,3,1498.114977
-95,3,1505.903358
-150,2,1511.6723
-99,2,1517.549418
-86,4,1527.251347
-100,1,1531.092795
-95,3,1538.946619
-95,3,1546.886711
-100,1,1550.919544
-99,2,1556.900113
-86,4,1566.536631
-149,3,1574.382863
-100,1,1578.471218
-100,1,1582.435979
-70,5,1594.107277
-99,2,1599.598708
-200,3,1607.38814
-100,1,1611.67426
-95,3,1619.746966
-99,2,1625.711365
-95,3,1633.475596
-86,4,1642.927966
-99,2,1648.669464
-86,4,1658.194675
-70,5,1669.676135
-100,1,1673.748629
-100,1,1677.628437
-100,1,1681.469071
-86,4,1690.799098
-99,2,1696.62713
-70,5,1708.020783
-150,2,1714.201554
-136,5,1725.980265
-95,3,1733.84492
-70,5,1745.236154
-100,1,1749.103622
-70,5,1761.361683
-99,2,1768.747917
-99,2,1774.426816
-100,1,1778.275519
-100,1,1782.122208
-99,2,1787.892172
-95,3,1795.605569
-95,3,1803.434551
-99,2,1809.211018
-99,2,1814.996846
-86,4,1824.39109
-100,1,1828.428227
-95,3,1836.079666
-86,4,1846.205651
-70,5,1857.03047
-100,1,1860.900299
-86,4,1870.701001
-95,3,1878.376621
-100,1,1882.189859
-99,2,1887.969834
-70,5,1899.184125
-100,1,1903.299975
-99,2,1909.305968
-95,3,1917.00742
-99,2,1923.041241
-99,2,1929.007077
-99,2,1935.160076
-95,3,1942.996347
-100,1,1946.926018
-95,7,1961.579548
-195,5,1973.083346
-86,4,1982.371209
-99,2,1987.986213
-99,2,1993.693337
-100,1,1997.495126
-70,5,2009.000478
-145,4,2018.552485
-100,1,2022.414427
-100,1,2026.318855
-95,3,2033.848006
-95,3,2041.449844
-100,1,2045.337285
-99,2,2051.197896
-100,1,2055.392892
-99,2,2060.926718
-95,3,2068.62567
-86,4,2078.433337
-145,4,2088.428492
-45,6,2101.418048
-95,3,2109.07986
-100,1,2112.9007
-100,1,2116.721004
-95,3,2124.713055
-70,5,2135.932231
-70,5,2147.21138
-95,3,2154.999878
-100,1,2159.10924
-99,2,2164.6612
-100,1,2168.513479
-100,1,2172.355981
-70,5,2183.440414
-70,5,2194.769252
-95,3,2202.194556
-150,2,2207.931696
-100,1,2211.705402
-95,3,2219.630095
-99,2,2225.375701
-86,4,2235.03418
-100,1,2239.06275
-100,1,2242.833212
-100,1,2246.650029
40,8,2262.701211
-100,1,2266.632476
-100,1,2270.821937
-70,5,2282.319976
-150,2,2288.517269
-100,1,2292.44906
-136,5,2303.758389
-95,3,2311.416613
-100,1,2315.277549
-100,1,2319.392842
-70,5,2330.564253
-95,3,2338.2944
-86,4,2347.833927
-100,1,2351.717096
-99,2,2357.220027
-86,4,2366.814452
-99,2,2372.614377
-86,4,2381.998878
-100,1,2386.073827
-99,2,2392.003384
-70,5,2403.135013
-100,1,2407.148079
-100,1,2411.161118
-95,3,2418.718143
-86,4,2428.593236
-70,5,2439.908
-99,2,2445.929116
-95,3,2453.42254
-100,1,2457.436915
-100,1,2461.277909
-99,2,2467.058665
-136,5,2478.376013
-99,2,2484.322812
-100,1,2488.220204
-100,1,2492.029837
-45,6,2504.81116
-100,1,2508.834807
-99,2,2514.709405
-136,5,2526.066156
-149,3,2533.745036
-136,5,2545.049798
-99,2,2551.193049
-99,2,2557.008427
-99,2,2562.887517
-95,3,2570.526909
-100,1,2574.349719
-99,2,2580.166163
-149,3,2588.149358
-95,3,2596.007028
-99,2,2602.003162
-95,3,2610.023669
-95,3,2617.780902
-99,2,2623.487031
-86,4,2633.114463
-70,5,2644.433164
-95,3,2651.816729
-100,1,2655.679734
-70,5,2667.183385
-145,4,2676.775146
-100,1,2680.808732
-95,3,2688.36617
-100,1,2692.40287
-100,1,2696.234479
-145,4,2705.866272
-86,4,2715.264873
-9,7,2729.823702
-9,7,2744.310821
-95,3,2751.946352
-100,1,2755.870431
-99,2,2761.722381
-95,3,2769.319306
-86,4,2778.967186
-95,3,2786.662995
-70,5,2798.169029
-100,1,2802.20771
-99,2,2807.632539
-95,3,2815.434037
-100,1,2819.234517
-70,5,2830.414205
-95,3,2838.125769
-100,1,2841.964702
-100,1,2845.793672
-99,2,2851.420688
-45,6,2864.479664
-86,4,2874.219616
-100,1,2878.095276
-100,1,2881.944343
-99,2,2887.69139
-45,6,2900.526203
-100,1,2904.369914
-95,3,2911.766612
-195,9,2930.169977
-70,5,2941.820543
