r,l,t
-48.148148,6,2.831964
-99.0,2,3.910835
28.074074,8,7.395221
-71.296296,5,9.657906
-98.148148,7,12.710043
-71.296296,5,15.067316
-95.074074,3,16.618037
-86.407407,4,18.639839
-95.074074,3,20.147913
-86.407407,4,22.0509
83.777778,9,25.910771
-71.296296,5,28.348727
-95.074074,3,29.886693
-15.481481,7,33.033552
-71.296296,5,35.366882
-71.296296,5,37.684067
-71.296296,5,39.915187
152.777778,10,43.957581
-86.407407,4,45.930254
102.777778,11,50.70734
-95.074074,3,52.201471
102.777778,11,56.554744
-48.148148,6,59.189684
-71.296296,5,61.526682
-86.407407,4,63.463734
-71.296296,5,65.830619
-86.407407,4,67.763969
152.777778,10,71.757368
-95.074074,3,73.233438
-95.074074,3,74.652461
28.074074,8,78.26255
-99.0,2,79.360879
-71.296296,5,81.719509
-99.0,2,82.751767
-99.0,2,83.792291
-99.0,2,84.803914
-48.148148,6,87.557586
-99.0,2,88.590619
-86.407407,4,90.461055
28.074074,8,93.869419
-71.296296,5,96.16487
-99.0,2,97.205295
-99.0,2,98.294913
-86.407407,4,100.234751
-99.0,2,101.270404
-15.481481,7,104.258526
-15.481481,7,107.265479
-86.407407,4,109.118554
33.777778,10,113.102839
-95.074074,3,114.581563
236.111111,11,118.732369
-65.481481,8,122.239133
-86.407407,4,124.032467
-86.407407,4,125.952063
102.777778,11,130.427701
-86.407407,4,132.368163
-86.407407,4,134.244008
-71.296296,5,136.539506
-99.0,2,137.551278
-95.074074,3,139.029843
-86.407407,4,140.832098
-145.074074,4,142.756061
-86.407407,4,144.693676
-95.074074,3,146.168844
28.074074,8,149.673721
-95.074074,3,151.162971
-99.0,2,152.196111
-99.0,2,153.216536
-95.074074,3,154.681085
-99.0,2,155.711403
-95.074074,3,157.21039
-21.925926,9,161.067942
-86.407407,4,162.995291
-86.407407,4,164.852914
28.074074,8,168.229081
-71.296296,5,170.533712
-86.407407,4,172.499887
-99.0,2,173.516246
-98.148148,7,176.669741
-95.074074,3,178.047148
-95.074074,3,179.438409
102.777778,11,184.054312
28.074074,8,187.609617
-71.296296,5,189.983736
-121.296296,6,192.691985
-95.074074,3,194.144581
83.777778,9,197.78855
-99.0,2,198.835405
-86.407407,4,200.709927
-86.407407,4,202.56525
-95.074074,3,204.020156
-86.407407,4,205.816748
-99.0,2,206.848253
-99.0,2,207.87103
-48.148148,6,210.496774
83.777778,9,214.372304
-95.074074,3,215.852529
-95.074074,3,217.313245
-21.925926,9,220.984839
-15.481481,7,224.106186
-95.074074,3,225.549299
-99.0,2,226.58863
-71.296296,5,228.85879
-99.0,2,229.900126
-95.074074,3,231.369239
-71.296296,5,233.669552
-15.481481,7,236.66795
-99.0,2,237.703735
-86.407407,4,239.570717
-121.296296,6,242.357088
-48.148148,6,245.211478
-99.0,2,246.300346
-145.074074,4,248.322099
-99.0,2,249.365518
-99.0,2,250.411912
-86.407407,4,252.346541
-95.074074,3,253.843639
-99.0,2,254.856487
-48.148148,6,257.499327
-136.407407,5,259.826015
-99.0,2,260.859963
-99.0,2,261.901239
33.777778,10,265.969085
-95.074074,3,267.435862
-86.407407,4,269.316552
-95.074074,3,270.850761
-99.0,2,271.889705
-99.0,2,272.923385
102.777778,11,277.436996
-99.0,2,278.46972
-95.074074,3,279.921923
-71.296296,5,282.222119
-48.148148,6,284.98153
-71.296296,5,287.342495
-86.407407,4,289.215949
-95.074074,3,290.667374
-15.481481,7,293.721101
-99.0,2,294.754455
-99.0,2,295.801805
-99.0,2,296.82891
-145.074074,4,298.632156
-86.407407,4,300.526038
152.777778,10,304.724947
-115.481481,9,308.531063
-86.407407,4,310.426128
-65.481481,8,314.02915
-15.481481,7,317.153975
-99.0,2,318.238562
-99.0,2,319.274239
-86.407407,4,321.208711
-48.148148,6,323.856864
-95.074074,3,325.245936
-86.407407,4,327.114772
-95.074074,3,328.68018
-95.074074,3,330.186015
-95.074074,3,331.673801
-86.407407,4,333.571558
-86.407407,4,335.474308
-86.407407,4,337.503479
-99.0,2,338.567114
28.074074,8,341.823445
-99.0,2,342.918458
-95.074074,3,344.361529
-86.407407,4,346.246699
-86.407407,4,348.139864
-99.0,2,349.198686
-71.296296,5,351.462222
28.074074,8,354.773572
-95.074074,3,356.230517
-86.407407,4,358.093736
-86.407407,4,359.840722
-145.074074,4,361.80794
-71.296296,5,364.097011
-99.0,2,365.139633
-99.0,2,366.229519
-95.074074,3,367.763274
-99.0,2,368.818338
-99.0,2,369.834425
-99.0,2,370.866591
-95.074074,3,372.344084
-15.481481,7,375.364944
-145.074074,4,377.38586
-99.0,2,378.474143
-21.925926,9,382.203202
-71.296296,5,384.48589
-71.296296,5,386.801375
-86.407407,4,388.624915
-99.0,2,389.720229
-99.0,2,390.759677
-95.074074,3,392.21138
-121.296296,6,394.873605
-15.481481,7,397.882023
-86.407407,4,399.799649
-71.296296,5,402.070514
-65.481481,8,405.543781
-71.296296,5,407.735511
-99.0,2,408.771158
-121.296296,6,412.279475
-86.407407,4,414.223555
-48.148148,6,416.991186
-95.074074,3,418.455883
-71.296296,5,420.725586
-99.0,2,421.767085
-95.074074,3,423.273059
-95.074074,3,424.796253
-99.0,2,425.848852
-86.407407,4,427.76004
-86.407407,4,429.702366
-86.407407,4,431.642268
-48.148148,6,434.323218
-99.0,2,435.383984
-86.407407,4,437.272906
-99.0,2,438.348171
-86.407407,4,440.290639
-15.481481,7,443.363944
-86.407407,4,445.264186
-95.074074,3,446.733955
-86.407407,4,448.569257
-15.481481,7,451.568011
-86.407407,4,453.435561
-95.074074,3,454.776432
-86.407407,4,456.603856
-48.148148,6,459.255075
-86.407407,4,461.110277
-48.148148,6,463.735029
-15.481481,7,466.760261
-99.0,2,467.783683
-86.407407,4,469.685608
-99.0,2,470.74073
-136.407407,5,473.284443
-99.0,2,474.351941
-95.074074,3,475.69788
-99.0,2,476.717102
-95.074074,3,478.184366
-99.0,2,479.220527
-71.296296,5,481.496565
33.777778,10,485.556098
-86.407407,4,487.45971
-95.074074,3,488.959034
-86.407407,4,490.790886
-95.074074,3,492.286164
-71.296296,5,494.576206
399.37037,14,500.083885
-86.407407,4,502.046206
-95.074074,3,503.555073
-21.925926,9,507.445261
-121.296296,6,510.189353
-95.074074,3,511.684642
-95.074074,3,513.244622
-98.148148,7,516.298327
-48.148148,6,518.951346
-71.296296,5,521.299601
28.074074,8,524.812229
-95.074074,3,526.331403
-65.481481,8,529.89647
-95.074074,3,531.334907
-21.925926,9,535.123132
-136.407407,5,537.444757
-95.074074,3,539.007297
-95.074074,3,540.486759
83.777778,9,544.266449
-145.074074,4,546.184057
-86.407407,4,548.09977
-71.296296,5,550.445797
-95.074074,3,551.962647
-86.407407,4,553.970244
-95.074074,3,555.481252
28.074074,8,558.941635
-95.074074,3,560.422676
-71.296296,5,562.724185
-86.407407,4,564.656147
-145.074074,4,566.696376
-86.407407,4,568.640067
-99.0,2,569.65593
-71.296296,5,571.916081
-95.074074,3,573.388243
-21.925926,9,577.180956
-86.407407,4,579.042968
-71.296296,5,581.299515
-71.296296,5,583.586758
-86.407407,4,585.465169
-48.148148,6,588.148402
-21.925926,9,592.001773
-71.296296,5,594.230029
-86.407407,4,596.16106
-21.925926,9,599.95062
-99.0,2,601.009692
-95.074074,3,602.454871
-99.0,2,603.524812
-86.407407,4,605.469434
-86.407407,4,607.387774
-86.407407,4,609.295725
-99.0,2,610.344415
-95.074074,3,612.064076
-99.0,2,614.045405
-48.148148,6,616.822436
-86.407407,4,678.584057
-95.074074,3,680.159283
-95.074074,3,681.742941
-95.074074,3,683.288295
-71.296296,5,685.669697
-71.296296,5,688.033544
-95.074074,3,689.530507
-86.407407,4,691.459825
-95.074074,3,692.917306
-86.407407,4,694.834947
-99.0,2,695.948595
-99.0,2,697.023849
-71.296296,5,699.295713
-136.407407,5,701.635913
-95.074074,3,703.127937
234.703704,14,708.8541
-121.296296,6,711.579931
-86.407407,4,713.477774
-95.074074,3,714.931327
28.074074,8,718.255782
-48.148148,6,720.952415
-99.0,2,722.071672
-86.407407,4,723.936065
-48.148148,6,726.729837
-99.0,2,727.842941
-86.407407,4,729.76989
-99.0,2,730.812377
-99.0,2,731.823709
-99.0,2,732.857205
-95.074074,3,734.292043
-99.0,2,735.3399
-95.074074,3,736.928623
-99.0,2,738.006133
-71.296296,5,740.557352
-95.074074,3,742.118829
-99.0,2,743.242704
-48.148148,6,745.937439
-99.0,2,746.982994
-95.074074,3,748.452388
-95.074074,3,749.903467
-71.296296,5,752.218939
234.703704,14,757.803641
-15.481481,7,760.843115
-95.074074,3,762.33559
-121.296296,6,765.045866
-99.0,2,766.087553
-99.0,2,767.130519
-121.296296,6,769.912023
-71.296296,5,772.158275
186.111111,12,777.047848
-99.0,2,778.118195
-95.074074,3,779.50502
-121.296296,6,782.339593
-71.296296,5,784.692274
-86.407407,4,786.626374
-86.407407,4,788.573347
-121.296296,6,791.373914
-95.074074,3,792.90856
-86.407407,4,794.788305
-95.074074,3,796.186437
-95.074074,3,797.741282
-95.074074,3,799.236904
83.777778,9,803.011612
-95.074074,3,804.539717
-121.296296,6,807.399153
-48.148148,6,810.176312
-48.148148,6,812.89448
-99.0,2,813.946102
-71.296296,5,816.081379
-21.925926,9,820.217192
-95.074074,3,821.748934
-15.481481,7,824.86862
-136.407407,5,827.270561
-95.074074,3,828.753324
102.777778,11,833.296786
-95.074074,3,834.819194
83.777778,9,838.505625
-99.0,2,839.579733
-95.074074,3,841.096796
-95.074074,3,842.591792
-99.0,2,843.660796
-71.296296,5,845.885969
-95.074074,3,847.367896
-86.407407,4,849.247577
-99.0,2,850.281878
33.777778,10,854.47603
-86.407407,4,856.409469
-65.481481,8,859.945259
-99.0,2,860.99188
-86.407407,4,862.931652
-99.0,2,863.989964
-86.407407,4,866.005068
-71.296296,5,868.304278
-71.296296,5,870.563951
-71.296296,5,872.794598
-99.0,2,873.873922
-95.074074,3,875.366061
-95.074074,3,876.860459
-95.074074,3,878.345631
-121.296296,6,881.029071
-99.0,2,882.064156
-86.407407,4,883.96481
-86.407407,4,885.850594
-98.148148,7,888.947029
-86.407407,4,890.821089
-71.296296,5,893.137334
-86.407407,4,895.07387
-95.074074,3,896.431387
-99.0,2,897.445706
-95.074074,3,898.942648
334.703704,12,903.487455
-16.222222,11,908.379633
-95.074074,3,909.901847
-121.296296,6,912.585459
-86.407407,4,914.492605
-121.296296,6,917.262273
-99.0,2,918.288207
-86.407407,4,920.165852
-95.074074,3,921.695554
-71.296296,5,923.910935
-99.0,2,924.947834
-48.148148,6,927.667677
-99.0,2,928.699727
-95.074074,3,930.172095
-71.296296,5,932.428631
-48.148148,6,935.160517
-71.296296,5,937.463365
-99.0,2,938.499402
-86.407407,4,940.41583
-95.074074,3,941.883076
-99.0,2,942.911438
-86.407407,4,944.840342
-95.074074,3,946.334657
-71.296296,5,948.626329
-71.296296,5,950.856226
-48.148148,6,953.615917
-136.407407,5,956.053551
-99.0,2,957.094051
-99.0,2,958.143742
-86.407407,4,960.052898
-71.296296,5,962.336892
-86.407407,4,964.240669
-48.148148,6,966.971915
28.074074,8,970.437291
-99.0,2,971.508763
-99.0,2,972.590138
52.777778,12,977.750013
-95.074074,3,979.237991
-71.296296,5,981.592721
-95.074074,3,983.089705
-98.148148,7,986.234433
-71.296296,5,988.678977
-95.074074,3,990.211638
-86.407407,4,992.228473
-99.0,2,993.284927
-99.0,2,994.37729
-71.296296,5,996.682678
-99.0,2,997.706718
-86.407407,4,999.589536
-99.0,2,1000.634787
-99.0,2,1001.692514
-99.0,2,1002.757961
-99.0,2,1003.823694
-95.074074,3,1005.195037
-15.481481,7,1008.308203
-95.074074,3,1010.668582
28.074074,8,1014.062956
-71.296296,5,1016.489567
-95.074074,3,1017.970285
-99.0,2,1019.01522
-99.0,2,1020.073828
-65.481481,8,1023.593119
-86.407407,4,1025.45746
-48.148148,6,1028.113085
-136.407407,5,1030.540188
-99.0,2,1031.576623
-99.0,2,1032.623899
-95.074074,3,1034.064927
-71.296296,5,1036.554844
-71.296296,5,1038.768993
-71.296296,5,1041.022236
-148.148148,8,1044.513896
-99.0,2,1045.598459
-121.296296,6,1048.400639
-95.074074,3,1049.870361
-95.074074,3,1051.335548
-98.148148,7,1054.607464
-86.407407,4,1056.496236
-136.407407,5,1058.89267
-21.925926,9,1062.810561
-71.296296,5,1065.086509
-98.148148,7,1068.321471
-99.0,2,1069.372493
-15.481481,7,1072.3548
28.074074,8,1076.346267
-95.074074,3,1078.089266
-86.407407,4,1080.145146
-15.481481,7,1083.389338
-98.148148,7,1086.906447
-86.407407,4,1088.968606
-71.296296,5,1091.329818
-71.296296,5,1093.552254
-71.296296,5,1095.859725
-99.0,2,1096.932605
-86.407407,4,1098.856864
-99.0,2,1099.879544
-95.074074,3,1101.381882
-71.296296,5,1103.658918
-71.296296,5,1105.929015
-95.074074,3,1107.402651
-95.074074,3,1108.860015
-48.148148,6,1111.524342
-95.074074,3,1112.988553
-86.407407,4,1114.873503
-99.0,2,1115.992051
-99.0,2,1117.036215
236.111111,11,1121.371014
28.074074,8,1124.66126
-99.0,2,1125.68623
-95.074074,3,1127.142551
-86.407407,4,1129.011898
152.777778,10,1133.253934
28.074074,8,1137.235321
-86.407407,4,1139.369024
-95.074074,3,1141.034308
-99.0,2,1142.134188
-71.296296,5,1144.474534
-145.074074,4,1146.508996
-71.296296,5,1148.858866
-86.407407,4,1150.781221
-71.296296,5,1153.078204
-71.296296,5,1155.374192
-99.0,2,1156.401337
480.814815,16,1162.194483
-98.148148,7,1165.37279
-115.481481,9,1169.304404
-48.148148,6,1172.019685
-86.407407,4,1173.920444
-95.074074,3,1175.565541
2.777778,13,1180.979436
-71.296296,5,1183.289243
-86.407407,4,1185.231029
-15.481481,7,1188.285401
-99.0,2,1189.357538
-86.407407,4,1191.309057
-98.148148,7,1194.366486
-95.074074,3,1195.874692
-99.0,2,1196.888572
-21.925926,9,1200.69342
-71.296296,5,1203.177912
-95.074074,3,1204.707244
28.074074,8,1208.077171
-71.296296,5,1210.327254
-86.407407,4,1212.162738
-95.074074,3,1213.614521
-86.407407,4,1215.50387
-136.407407,5,1217.803888
-95.074074,3,1219.492323
-95.074074,3,1221.099773
-99.0,2,1222.151009
-99.0,2,1223.215625
-99.0,2,1224.297228
84.703704,17,1230.830731
-99.0,2,1231.862953
-86.407407,4,1233.739733
-121.296296,6,1236.541297
-145.074074,4,1238.445219
-115.481481,9,1242.300054
-95.074074,3,1243.76901
2.777778,13,1249.453732
-71.296296,5,1252.127442
152.777778,10,1256.42623
-98.148148,7,1259.487812
-86.407407,4,1261.414266
-71.296296,5,1263.921988
-136.407407,5,1266.385455
33.777778,10,1270.425684
28.074074,8,1274.241171
-99.0,2,1275.539914
-48.148148,6,1278.2349
-95.074074,3,1279.736871
-165.481481,10,1284.200818
-86.407407,4,1286.124172
-99.0,2,1287.184634
-95.074074,3,1288.668781
-99.0,2,1289.706846
-99.0,2,1290.75871
-86.407407,4,1292.756409
33.777778,10,1296.954967
-86.407407,4,1298.841275
-65.481481,8,1302.377365
-15.481481,7,1305.396936
-71.296296,5,1307.596268
-71.296296,5,1309.852867
-71.296296,5,1312.075063
-71.296296,5,1314.325854
28.074074,8,1317.807611
-99.0,2,1318.855293
-95.074074,3,1320.311103
-171.296296,7,1323.65927
-99.0,2,1324.926133
-71.296296,5,1327.397587
186.111111,12,1332.262726
83.777778,9,1335.978763
-99.0,2,1336.996755
-99.0,2,1338.04202
-86.407407,4,1339.889086
83.777778,9,1343.692609
-86.407407,4,1345.512058
-95.074074,3,1346.989942
-15.481481,7,1350.062136
-148.148148,8,1353.465684
-95.074074,3,1354.926412
-15.481481,7,1357.9482
-136.407407,5,1360.257836
83.777778,9,1364.12224
-48.148148,6,1366.873624
28.074074,8,1370.446095
-16.222222,11,1375.782855
-99.0,2,1377.135231
-86.407407,4,1379.175162
-71.296296,5,1381.582805
-86.407407,4,1383.457203
-95.074074,3,1385.145658
-95.074074,3,1386.815114
-99.0,2,1387.931184
-71.296296,5,1390.366363
-71.296296,5,1392.627043
-99.0,2,1393.687936
-86.407407,4,1395.578212
-48.148148,6,1398.306766
-71.296296,5,1400.579051
-95.074074,3,1402.040263
-99.0,2,1403.111439
-86.407407,4,1405.019783
-86.407407,4,1406.92771
-95.074074,3,1408.43737
-99.0,2,1409.477783
-71.296296,5,1411.865145
-136.407407,5,1414.459834
-99.0,2,1415.581642
-48.148148,6,1418.318087
-99.0,2,1419.359772
-99.0,2,1420.412289
-71.296296,5,1422.796279
-48.148148,6,1425.484523
-71.296296,5,1427.788917
-48.148148,6,1430.491927
-21.925926,9,1434.252945
236.111111,11,1438.418836
-86.407407,4,1440.264914
-95.074074,3,1441.649273
-48.148148,6,1444.35871
-95.074074,3,1445.825926
-65.481481,8,1449.310644
-99.0,2,1450.371473
28.074074,8,1453.731042
-86.407407,4,1455.649612
-95.074074,3,1457.141671
-95.074074,3,1458.639317
-86.407407,4,1460.496877
-71.296296,5,1462.784752
-95.074074,3,1464.231586
-95.074074,3,1465.706114
-95.074074,3,1467.160478
28.074074,8,1470.59813
-95.074074,3,1472.048975
236.111111,11,1476.428495
-15.481481,7,1479.503874
-99.0,2,1480.533971
-86.407407,4,1482.462634
-15.481481,7,1485.562941
-48.148148,6,1488.399748
33.777778,10,1492.730403
-95.074074,3,1494.215323
-95.074074,3,1495.70836
-95.074074,3,1497.171121
136.111111,13,1502.306884
-95.074074,3,1503.669804
-99.0,2,1504.704929
-86.407407,4,1506.587353
-21.925926,9,1510.3076
-21.925926,9,1514.206366
-99.0,2,1515.291633
-99.0,2,1516.324541
83.777778,9,1520.033089
83.777778,9,1523.750466
-95.074074,3,1525.271803
-48.148148,6,1528.040323
-71.296296,5,1530.372493
-86.407407,4,1532.203945
-95.074074,3,1533.664111
-65.481481,8,1537.097451
-71.925926,10,1541.398192
-148.148148,8,1544.893957
-99.0,2,1545.988251
28.074074,8,1549.961609
-86.407407,4,1552.342399
-99.0,2,1553.447914
-98.148148,7,1556.876587
-15.481481,7,1560.011261
-99.0,2,1561.077193
-86.407407,4,1563.038398
-71.296296,5,1565.308115
-136.407407,5,1567.801531
-71.296296,5,1570.115382
-99.0,2,1571.219869
-86.407407,4,1573.105169
-48.148148,6,1575.68383
-48.148148,6,1578.339081
-65.481481,8,1581.900992
-86.407407,4,1583.804187
-71.296296,5,1586.068514
152.777778,10,1590.095697
-99.0,2,1591.16905
-15.481481,7,1594.253354
-95.074074,3,1595.72499
-95.074074,3,1597.204429
28.074074,8,1600.688355
-99.0,2,1601.729373
-95.074074,3,1603.202782
-86.407407,4,1605.07038
186.111111,12,1609.921959
52.777778,12,1614.802327
-95.074074,3,1616.26198
-15.481481,7,1619.333894
-98.148148,7,1622.519845
28.074074,8,1626.120759
-21.925926,9,1629.968855
-86.407407,4,1631.890692
-48.148148,6,1635.036334
-95.074074,3,1636.562187
-136.407407,5,1639.025052
-99.0,2,1640.058766
-86.407407,4,1641.955075
-121.296296,6,1644.705958
-95.074074,3,1646.171799
-99.0,2,1647.213396
-48.148148,6,1649.865166
-71.296296,5,1652.102252
-99.0,2,1653.148505
-15.481481,7,1656.156898
-71.296296,5,1658.395644
-98.148148,7,1661.564649
236.111111,11,1665.991243
-65.481481,8,1669.368418
-95.074074,3,1670.834138
-86.407407,4,1672.61015
-95.074074,3,1674.066375
-115.481481,9,1677.982624
-186.407407,6,1680.766013
-71.296296,5,1683.036115
-71.296296,5,1685.408032
-86.407407,4,1687.327018
-86.407407,4,1689.197111
-65.481481,8,1692.671996
-48.148148,6,1695.311879
-65.481481,8,1698.741999
-48.148148,6,1701.36803
-48.148148,6,1704.053895
-95.074074,3,1705.530787
33.777778,10,1709.54047
-48.148148,6,1712.201657
-15.481481,7,1715.223891
-48.148148,6,1717.858015
-71.296296,5,1720.107055
-86.407407,4,1722.014177
28.074074,8,1725.460937
-71.296296,5,1727.807153
-71.296296,5,1730.098074
-99.0,2,1731.11623
-99.0,2,1732.174973
-86.407407,4,1734.061838
102.777778,11,1738.520655
-21.925926,9,1742.259204
-86.407407,4,1744.251334
-86.407407,4,1746.182243
-99.0,2,1747.644941
-99.0,2,1748.756613
186.111111,12,1753.460692
-86.407407,4,1755.43073
83.777778,9,1759.84805
-71.296296,5,1762.588391
-86.407407,4,1764.59235
-99.0,2,1765.631435
-65.481481,8,1769.208209
-95.074074,3,1770.953664
-95.074074,3,1772.702546
-95.074074,3,1774.333223
-86.407407,4,1776.268963
-86.407407,4,1778.215752
-71.296296,5,1780.429485
28.074074,8,1783.818057
-71.296296,5,1786.14042
-71.925926,10,1790.271266
-99.0,2,1791.297537
-95.074074,3,1792.764043
-86.407407,4,1794.803555
-71.296296,5,1797.095483
-99.0,2,1798.130241
-15.481481,7,1801.095533
-48.148148,6,1803.959014
33.777778,10,1808.056473
-71.296296,5,1810.382848
-15.481481,7,1813.449838
28.074074,8,1816.836456
-65.481481,8,1820.312191
-71.296296,5,1822.698162
-86.407407,4,1824.488105
-71.296296,5,1826.814098
-136.407407,5,1829.14581
-86.407407,4,1831.073504
236.111111,11,1835.434618
-21.925926,9,1839.306046
-99.0,2,1840.360634
-86.407407,4,1842.216377
-95.074074,3,1843.548352
28.074074,8,1847.080817
-99.0,2,1848.113393
-86.407407,4,1850.231148
-99.0,2,1851.314288
-99.0,2,1852.37168
83.777778,9,1856.116752
52.777778,12,1861.435885
-21.925926,9,1866.154122
-86.407407,4,1868.076789
-71.296296,5,1870.348439
-71.296296,5,1872.725208
-86.407407,4,1874.590722
-86.407407,4,1876.520434
-71.296296,5,1878.862206
-86.407407,4,1880.73784
-86.407407,4,1882.626221
-48.148148,6,1885.376311
-71.296296,5,1887.667865
-99.0,2,1888.723739
83.777778,9,1892.380857
-98.148148,7,1895.44992
-99.0,2,1896.480881
-15.481481,7,1899.669444
-21.925926,9,1903.482353
36.111111,15,1909.128326
-86.407407,4,1910.996714
