r,l,t
-99,2,1.199429
-70,5,3.812395
-95,3,5.489329
-86,4,7.63893
-59,8,11.588009
-86,4,13.709581
-70,5,16.30954
-95,3,17.921294
-99,2,19.091921
-45,6,22.145257
-86,4,24.330149
-70,5,27.129501
-99,2,28.397113
-9,7,31.966361
-86,4,34.293663
-95,3,36.06759
-70,5,38.948485
40,8,43.240336
-95,3,45.038268
-70,5,47.747521
-99,2,48.940841
-45,6,52.839863
-95,3,54.732124
-99,2,56.059585
-86,4,58.453603
-99,2,59.889026
-95,3,61.668127
-99,2,62.989794
-86,4,65.272423
-70,5,68.380753
-70,5,71.168241
-86,4,73.441895
-86,4,75.670436
-99,2,77.084175
-86,4,79.366629
-86,4,81.618145
-86,4,83.896162
-99,2,85.172528
-95,3,87.391891
-95,3,89.167518
-99,2,90.3643
-9,7,94.202679
-70,5,97.138781
-86,4,99.402154
-86,4,101.666063
-95,3,103.727911
-86,4,106.156538
-145,4,108.470737
-95,3,110.27416
-99,2,111.494336
-95,3,113.442125
-99,2,114.733228
-95,3,116.701579
-86,4,119.160145
40,8,123.668051
-99,2,125.008676
54,10,130.389791
-9,7,134.058788
-99,2,135.312113
-45,6,138.46742
-95,3,140.202466
-145,4,142.410998
-95,3,144.141705
-110,11,149.743316
-95,3,151.591027
-99,2,152.821507
-45,6,155.950375
-86,4,158.1322
-70,5,160.906197
-95,3,162.846427
-99,2,164.194734
-95,3,165.95707
-86,4,168.213452
-45,6,171.389905
-10,9,175.706641
-9,7,179.26493
-99,2,180.538453
-95,3,182.242066
-86,4,184.564967
-95,3,186.208728
-95,3,187.9407
-86,4,190.154561
40,8,194.204773
-45,6,197.225113
-99,2,198.446757
-136,5,201.027264
-99,2,202.243699
-99,2,203.444535
-99,2,204.669284
-95,3,206.418345
-99,2,207.611985
-99,2,208.819049
-10,9,213.488064
-86,4,215.706302
-95,3,217.456677
-95,3,219.18373
-95,3,220.942468
-99,2,222.141164
-86,4,224.409726
-9,7,227.866037
-9,7,231.389876
-86,4,233.614706
-95,3,235.355942
-95,3,237.121089
-86,4,239.210863
-95,3,240.913727
-70,5,243.726709
-109,9,248.513831
-145,8,252.618156
104,9,257.104352
